Title,Year,Interventions,Subclass,Year2,Decade
Memoirs of Prince Metternich. 1773-[1835] /,1880-82.,FALSE,DB,1880,1880s
[Shakespere quarts facsimiles /,1880-91.,FALSE,PR,1880,1880s
[Shakespere quarts facsimiles /,1880-91.,FALSE,PR,1880,1880s
[Shakespere quarts facsimiles /,1880-91.,FALSE,PR,1880,1880s
[Shakespere quarts facsimiles /,1880-91.,FALSE,PR,1880,1880s
"Three fifteenth-century chronicles, with historical memoranda by John Stowe, the antiquary, and contemporary notes of occurences written by him in the reign of Queen Elizabeth.",1880.,FALSE,DA,1880,1880s
Abrisz der quellenkunde der griechischen und römischen geschichte /,1881-82.,FALSE,DE,1881,1880s
The life of Cicero /,1881.,FALSE,DG,1881,1880s
Dupleix: ouvrage illustré des fac-simile d'un portrait de plans et d'autographes.,1881.,FALSE,DS,1881,1880s
"A history of Egypt under the Pharaohs : derived entirely from the monuments, to which is added a discourse on the exodus of the Israelites /",1881.,FALSE,DT,1881,1880s
The history of the United States of America /,1882 [c1849-52],FALSE,E,1882,1880s
Registrum epistolarum fratris Johannis Peckham : archiepiscopi cantuariensis /,1882-1885.,FALSE,DA,1882,1880s
Lehrbuch der griechischen antiquitäten,1882-1913.,FALSE,DF,1882,1880s
Works: with notes ... and a life of the author /,1882-93.,FALSE,PR,1882,1880s
"The royal dukes and princesses of the family of George III. A view of court life and manners for seventy years, 1760-1830.",1882.,FALSE,DA,1882,1880s
"The Gypsies,",1882.,FALSE,DX,1882,1880s
D. Martin Luthers werke : kritische gesammtausgabe,1883-,FALSE,BR,1883,1880s
D. Martin Luthers werke : kritische gesammtausgabe,1883-,FALSE,BR,1883,1880s
D. Martin Luthers werke : kritische gesammtausgabe,1883-,FALSE,BR,1883,1880s
D. Martin Luthers werke : kritische gesammtausgabe,1883-,FALSE,BR,1883,1880s
D. Martin Luthers werke : kritische gesammtausgabe,1883-,FALSE,BR,1883,1880s
"Calendar of the manuscripts of the Most Honourable the Marquiss of Salisbury ... preserved at Hatfield House, Hertfordshire",1883-,FALSE,DA,1883,1880s
Italische landeskunde /,1883-1902.,FALSE,DG,1883,1880s
Lettres de Louis XI: roi de France /,1883-1909.,FALSE,DC,1883,1880s
Lettres de Louis XI: roi de France /,1883-1909.,FALSE,DC,1883,1880s
Novels.,"1883, [c1859-61]",FALSE,PS,1883,1880s
The romance of Guy of Warwick : The first or 14th-century version /,"1883, 1887, 1891.",FALSE,PR,1883,1880s
"L'Historia Britonum attribuée à Nennius, & l'Historia Britannica avant Geoffroi de Monmouth.",1883.,FALSE,DA,1883,1880s
Correspondance inédite de Condorcet et de Turgot 1770-1779; publiée avec des notes et une introduction d'après les autographes de la collection Minoret et les manuscrits de l'Institut /,1883.,FALSE,DC,1883,1880s
The history of Greece /,1883.,FALSE,DF,1883,1880s
The cities and cemeteries of Etruria.,1883.,FALSE,DG,1883,1880s
On the desert: with a brief review of recent events in Egypt.,1883.,FALSE,DS,1883,1880s
The manners and customs of the ancient Egyptians;,1883.,FALSE,DT,1883,1880s
The Lauderdale papers /,1884-1885.,FALSE,DA,1884,1880s
"Denkmäler des klassischen altertums zum erläuterung des lebens der Griechen und Römer in religion, kunst und sitte",1884-1888.,FALSE,DE,1884,1880s
"Das zeitalter der revolution, des kaiserreiches und der befreiungskriege.",1884-86.,FALSE,D,1884,1880s
Works ... /,1884-86.,FALSE,PR,1884,1880s
[Commentary on the New Testament],1884-90.,FALSE,BS,1884,1880s
Cartularium monasterii de Rameseia /,1884-93.,FALSE,DA,1884,1880s
"Shakespeare's Venus and Adonis, Lucrece: and other poems /","1884, [c1883]",FALSE,PR,1884,1880s
"Diary and correspondence of Samuel Pepys, Esq., F.R.S. : from his ms. cypher in the Pepysian library /",1884.,FALSE,DA,1884,1880s
"Peter the Great, emperor of Russia : a study of historical biography /",1884.,FALSE,DK,1884,1880s
"A short history of India and of the frontier states of Afghanistan, Nipal, and Burma.",1884.,FALSE,DS,1884,1880s
The works of Thomas Middleton /,1885-86.,FALSE,PR,1885,1880s
"William Lloyd Garrison, 1805-1879 : the story of his life told by his children .",1885-89.,FALSE,E,1885,1880s
"Zeiten, Völker und Menschen.",1885-98.,FALSE,D,1885,1880s
"The manuscripts of the Earl of Westmorland: Captain Stewart, Lord Stafford, Lord Muncaster, and others",1885.,FALSE,DA,1885,1880s
Histoire universelle /,1886-1909.,FALSE,DC,1886,1880s
A Select library of the Nicene and post-Nicene fathers of the Christian church /,1886-90.,FALSE,BR,1886,1880s
Down the ravine;,"1886, [c1885]",FALSE,PS,1886,1880s
Navarra y Logroño /,1886.,FALSE,DP,1886,1880s
"Twenty-one years' work in the Holy Land (a record and a summary) June 22, 1865-June 22, 1886",1886.,FALSE,DS,1886,1880s
"La frontière sino-annamite; description géographique et ethnographique d'après des documents officiels chinois,",1886.,FALSE,DS,1886,1880s
Works.,1887-1913.,FALSE,DA,1887,1880s
Old English plays : New series /,1887-90.,FALSE,PR,1887,1880s
"English writers; an attempt towards a history of English literature,",1887-95.,FALSE,PR,1887,1880s
Novels.,1887],FALSE,PS,1887,1880s
Novels.,1887],FALSE,PS,1887,1880s
The manuscripts of His Grace the Duke of Rutland : preserved at Belvoir castle... /,1888-1905.,FALSE,DA,1888,1880s
"Manuel des antiquités romaines,",1888-1907.,FALSE,DG,1888,1880s
L'estorie des Engles solum la translacion Maistre Geffrei Gaimar /,1888-89.,FALSE,DA,1888,1880s
A history of Greece : from the earliest period to the close of the generation contemporary with Alexander the Great /,1888.,FALSE,DF,1888,1880s
Die Akropolis von Athen nach den berichten der alten und den neusten erforschungen.,1888.,FALSE,DF,1888,1880s
"Marguerite d'Autriche et Jehan Lemaire de Belges; ou, De la littérature et des arts aux Pays-Bas sous Marguerite d'Autriche,",1888.,FALSE,DH,1888,1880s
"The story of Media, Babylon and Persia, including a study of the Zend-Avesta or religion of Zoroaster, from the fall of Nineveh to the Persian war (continued from ""The story of Assyria"")",1888.,FALSE,DS,1888,1880s
"The last journals of Bishop Hannington, being narratives of a journey through Palestine in 1884 and a journey through Masai-land and U-Soga in 1885,",1888.,FALSE,DS,1888,1880s
"The comedies, histories, and tragedies of Mr. William Shakespeare as presented at the Globe and Blackfriars theatres, circa 1591-1623 : being the text furnished the players, in parallel pages with the first revised to folio text, with critical introductions /",1888]-1906.,FALSE,PR,1888,1880s
"The comedies, histories, and tragedies of Mr. William Shakespeare as presented at the Globe and Blackfriars theatres, circa 1591-1623 : being the text furnished the players, in parallel pages with the first revised to folio text, with critical introductions /",1888]-1906.,FALSE,PR,1888,1880s
The writings of George Washington;,1889-[93],FALSE,E,1889,1880s
The writings of George Washington;,1889-[93],FALSE,E,1889,1880s
Deutsche Zeitschrift für Geschichtswissenschaft.,1889-1898.,FALSE,D,1889,1880s
Deutsche Zeitschrift für Geschichtswissenschaft.,1889-1898.,FALSE,D,1889,1880s
L'Europe et la révolution française .,"1889-1904 (v. 1, '93)",FALSE,DC,1889,1880s
"Sevilla monumental y artistica. Historia y descripción de todos los edificios notables, religiosos y civiles, que existen actualmente en este ciudad, y noticia de las preciosidades artísticas y arqueológicas que en ellos se conservan,",1889-92.,FALSE,DP,1889,1880s
Reliques of ancient English poetry ... /,1889-93.,FALSE,PR,1889,1880s
Kleine schriften von Alfred von Gutschmid /,1889-94.,FALSE,D,1889,1880s
Kleine schriften von Alfred von Gutschmid /,1889-94.,FALSE,D,1889,1880s
"Henry the Seventh,",1889.,FALSE,DA,1889,1880s
"History of Austro-Hungary from the earliest time to the year 1889,",1889.,FALSE,DB,1889,1880s
La société française au dix-septième siècle: an account of French society in the XVIIth century from contemporary writers /,1889.,FALSE,DC,1889,1880s
Soria /,1889.,FALSE,DP,1889,1880s
History of Phoenicia.,1889.,FALSE,DS,1889,1880s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Annual report of the American Historical Association.,1890-,FALSE,E,1890,1890s
Philippe v et la cour de France d'après des documents inédits tirés des archives espagnoles de Simancas et d'Alcala de Hénarès et des Archives du Ministère des affaires étrangèrs à Pairs,1890-[1901],FALSE,DP,1890,1890s
A Select library of Nicene and post-Nicene fathers of the Christian church.,1890-1900.,FALSE,BR,1890,1890s
Opera /,1890-1964.,FALSE,BR,1890,1890s
American Jewish year book.,1890-2008.,FALSE,E,1890,1890s
American Jewish year book.,1890-2008.,FALSE,E,1890,1890s
American Jewish year book.,1890-2008.,FALSE,E,1890,1890s
American Jewish year book.,1890-2008.,FALSE,E,1890,1890s
American Jewish year book.,1890-2008.,FALSE,E,1890,1890s
American Jewish year book.,1890-2008.,FALSE,E,1890,1890s
Das zeitalter des kaisers Wilhelm /,1890-92.,FALSE,D,1890,1890s
Memorials of St. Edmund's abbey.,1890-96.,FALSE,DA,1890,1890s
French traits : an essay in comparative criticism.,"1890, [c88]",FALSE,DC,1890,1890s
The native races of the Pacific states .,"1890, c1875.",FALSE,E,1890,1890s
The native races of the Pacific states .,"1890, c1875.",FALSE,E,1890,1890s
"Mémoires, souvenirs et anecdotes,",1890.,FALSE,DC,1890,1890s
Les hommes du 14 Juillet : gardes-françaises et vainqueurs de la Bastille.,1890.,FALSE,DC,1890,1890s
Russia's railway advance into Central Asia;,1890.,FALSE,DK,1890,1890s
"The manuscripts of His Grace the Duke of Portland, preserved at Welbeck Abbey.",1891-19.,FALSE,DA,1891,1890s
"The Clarke papers : selections from the papers of William Clarke, secretary to the Council of the Army, 1647-1649, and to General Monck and the commanders of the army in Scotland, 1651-1660 /",1891-1901.,FALSE,DA,1891,1890s
Augustus und sein zeit /,1891-1904.,FALSE,DG,1891,1890s
Emerson's complete works.,1891-92 [c1883],FALSE,PS,1891,1890s
The history of Sicily from the earliest times /,1891-94.,FALSE,DG,1891,1890s
Poetical works of Oliver Wendell Holmes in three volumes.,"1891, [c'50]",FALSE,PS,1891,1890s
Poetical works of Oliver Wendell Holmes in three volumes.,"1891, [c'50]",FALSE,PS,1891,1890s
The cloister life of the Emperor Charles V,1891.,FALSE,DD,1891,1890s
Le culte impérial : son histoire & son organisation depuis Auguste jusqu'a Justinien.,1891.,FALSE,DG,1891,1890s
Across Russia : from the Baltic to the Danube /,1891.,FALSE,DK,1891,1890s
The war in the Crimea.,1891.,FALSE,DK,1891,1890s
Hoccleve's works ... /,1892-1925.,FALSE,PR,1892,1890s
"The manuscripts of J.B. Fortscue, esq.,",1892-1927.,FALSE,DA,1892,1890s
"The manuscripts of J.B. Fortscue, esq.,",1892-1927.,FALSE,DA,1892,1890s
"The manuscripts of J.B. Fortscue, esq.,",1892-1927.,FALSE,DA,1892,1890s
Remains of ancient Rome /,1892.,FALSE,DG,1892,1890s
Poems of Penacook /,1892],FALSE,PS,1892,1890s
The Chester plays /,1893-1916.,FALSE,PR,1893,1890s
"Histoire du peuple d'Israël,",1893-95.,FALSE,DS,1893,1890s
"Records of the Parliament holden at Westminster on the twenty-eighth day of February, in the thirty-third year of the reign of King Edward the First (A.D. 1305) /",1893.,FALSE,DA,1893,1890s
History of India from the earliest times to the present day : for the use of students and colleges.,1893.,FALSE,DS,1893,1890s
Haidar Alí and Tipú Sultán: and the struggle with the Musalman powers of the South /,1893.,FALSE,DS,1893,1890s
"British East Africa; or, Ibea; a history of the formation and work of the Imperial British East Africa Company;",1893.,FALSE,DT,1893,1890s
History of the people of Israel ... /,1894-1896.,FALSE,DS,1894,1890s
The complete works of Geoffrey Chaucer /,1894-1900.,FALSE,PR,1894,1890s
"The invasion of the Crimea: its origin, and an account of its progress down to the death of Lord Raglan.",1894-1902.,FALSE,DK,1894,1890s
"Social England : a record of the progress of the people in religion, laws, learning, arts, industry, commerce, science, literature and manners, from the earliest times to the present day /",1894-97.,FALSE,DA,1894,1890s
"Gaspard de Coligny (marquis de Chatillon) admiral of France: colonel of French infantry; governor of Picardy, Île de France, Paris, and Havre.",1894.,FALSE,DC,1894,1890s
"Handbook of ancient Roman marbles ; or, A history and description of all ancient columns and surface marbles still existing in Rome, with a list of the buildings in which they are found,",1894.,FALSE,DG,1894,1890s
"The protected princes of India,",1894.,FALSE,DS,1894,1890s
"Chinese Central Asia; a ride to Little Tibet,",1894.,FALSE,DS,1894,1890s
The story of the Barbary corsairs /,1894[c1890],FALSE,DT,1894,1890s
Étude historique sur les corporations professionnelles chez les Romains depuis les origines jusqu'a la chute de l'Empire d'Occident /,1895-1900.,FALSE,DG,1895,1890s
Calendar of the patent rolls ... Richard II .,1895-1909.,FALSE,DA,1895,1890s
Huldreich Zwingli. Sein Leben und Wirken,1895-97.,FALSE,BR,1895,1890s
"The manuscripts of Lincoln, Bury St. Edmund's, and Great Grimsby corporation; and of the deans and chapters of Worcester and Lichfield, &c.",1895.,FALSE,DA,1895,1890s
Whitehall : historical and architectural notes,1895.,FALSE,DA,1895,1890s
"Southern Germany, including Wurtemberg and Bavaria; handbook for travellers,",1895.,FALSE,DD,1895,1890s
The land of the Nile springs : being chiefly an account of how we fought Kabarega /,1895.,FALSE,DT,1895,1890s
History of the German people at the close of the middle ages /,1896-1928.,FALSE,DD,1896,1890s
History of the German people at the close of the middle ages /,1896-1928.,FALSE,DD,1896,1890s
History of the German people at the close of the middle ages /,1896-1928.,FALSE,DD,1896,1890s
History of the German people at the close of the middle ages /,1896-1928.,FALSE,DD,1896,1890s
"The writings of Harriet Beecher Stowe : with biographical introductions, portraits, and other illustrations. In sixteen volumes.",1896-97],FALSE,PS,1896,1890s
La frontière linguistique en Belgique & dans le nord de la France .,1896-98.,FALSE,DH,1896,1890s
Kokoro : hints and echoes of Japanese inner life /,1896.,FALSE,DS,1896,1890s
Burnet's History of my own time;,1897-1900.,FALSE,DA,1897,1890s
Burnet's History of my own time;,1897-1900.,FALSE,DA,1897,1890s
"The prose works of Jonathan Swift, D. D. /",1897-1908.,FALSE,PR,1897,1890s
"The prose works of Jonathan Swift, D. D. /",1897-1908.,FALSE,PR,1897,1890s
Werke.,1897-1916.,FALSE,BR,1897,1890s
Prosopographia imperii romani saec I. II. III /,1897-98.,FALSE,DG,1897,1890s
"The growth of British policy; an historical essay,",1897.,FALSE,DA,1897,1890s
"The growth of British policy; an historical essay,",1897.,FALSE,DA,1897,1890s
Peter the Great /,1897.,FALSE,DK,1897,1890s
Opramoas; Inschriften von heroon zu Rhodiapolis;,1897.,FALSE,DS,1897,1890s
A history of nineteenth century literature (1780-1895),1898 [c1896],FALSE,PR,1898,1890s
The building of the British Empire; the story of England's growth from Elizabeth to Victoria.,1898.,FALSE,DA,1898,1890s
"A narrative of the changes in the ministry, 1765-1767 : told in a series of letters to John White ... ed ... by Mary Bateson.",1898.,FALSE,DA,1898,1890s
St. Thomas of Canterbury : his death and miracles.,1898.,FALSE,DA,1898,1890s
"Le général La Fayette, 1757-1834. Notice biographique,",1898.,FALSE,DC,1898,1890s
Zur Geschichtschreibung des Alb. Krantz /,1898.,FALSE,DD,1898,1890s
Bismarck; some secret pages of his history; being a diary kept by Dr. Moritz Busch during twenty-five years' official and private intercourse with the great chancellor .,1898.,FALSE,DD,1898,1890s
Die persönlichkeit in der geschichtsschreibung der alten untersuchungen zur technik der antiken historiographie.,1898.,FALSE,DE,1898,1890s
Pausanias's Description of Greece /,1898.,FALSE,DF,1898,1890s
Illustrated Armenia and the Armenians.,1898.,FALSE,DS,1898,1890s
The Marquess Cornwallis and the consolidation of British rule /,1898.,FALSE,DS,1898,1890s
Africa in the nineteenth century.,1898.,FALSE,DT,1898,1890s
"The Niger sources and the borders of the new Sierra Leone protectorate,",1898.,FALSE,DT,1898,1890s
Works: the Arden Shakespeare general /,1899-,FALSE,PR,1899,1890s
Works: the Arden Shakespeare general /,1899-,FALSE,PR,1899,1890s
The writings of Henry David Thoreau /,1899-1900 [c1893],FALSE,PS,1899,1890s
The novels and stories of Frank R. Stockton .,1899-1904.,FALSE,PS,1899,1890s
The novels and stories of Frank R. Stockton .,1899-1904.,FALSE,PS,1899,1890s
The novels and stories of Frank R. Stockton .,1899-1904.,FALSE,PS,1899,1890s
"Letters and papers relating to the first Dutch war, 1652-1654 /",1899-1930.,FALSE,DA,1899,1890s
Werke.,1899-1941.,FALSE,BR,1899,1890s
"Mémoirs of Marguerite de Valois, queen of Navarre /",1899.,FALSE,DC,1899,1890s
"Etruria and the Etruscans who they were, and what we know about them /",1899.,FALSE,DG,1899,1890s
The Caroline Islands: travel in the sea of the little lands /,1899.,FALSE,DU,1899,1890s
Opera.,1900,FALSE,BR,1900,1900s
Timgad : album artistique.,1900,FALSE,DT,1900,1900s
Histoire de France depuis les origines jusqu'à la révolution /,1900-11.,FALSE,DC,1900,1900s
Histoire de France depuis les origines jusqu'à la révolution /,1900-11.,FALSE,DC,1900,1900s
"A history of the four Georges,",1900-1901.,FALSE,DA,1900,1900s
"Report on the manuscripts of Mrs. Frankland-Russell-Astley,",1900.,FALSE,DA,1900,1900s
A history of England /,1900.,FALSE,DA,1900,1900s
Alfred in the chroniclers;,1900.,FALSE,DA,1900,1900s
Things Chinese : being notes on various subjects connected with China /,1900.,FALSE,DS,1900,1900s
Report on the manuscripts in various collections ... /,1901-14.,FALSE,DA,1901,1900s
Report on the manuscripts in various collections ... /,1901-14.,FALSE,DA,1901,1900s
"A dictionary of classical antiquities, mythology, religion, literature & art : from the German of Dr. Oskar Seyffert /",1901.,FALSE,DE,1901,1900s
"The Spanish people: their origin, growth and influence /",1901.,FALSE,DP,1901,1900s
Burma under British rule--and before;,1901.,FALSE,DS,1901,1900s
"""These from the land of Sinim."" Essays on the Chinese question /",1901.,FALSE,DS,1901,1900s
"In Tibet and Chinese Turkestan; being the record of three years' exploration,",1901.,FALSE,DS,1901,1900s
"The Ashanti campaign of 1900,",1901.,FALSE,DT,1901,1900s
"The sixth book of the select letters of Severus, patriarch of Antioch: in the Syriac version of Athanasius of Nisibis /",1902-,FALSE,BR,1902,1900s
Klio : Beiträge zur alten Geschichte.,1902-,FALSE,D,1902,1900s
"Calendar of the Stuart papers belonging to His Majesty the king, preserved at Windsor castle.",1902-,FALSE,DA,1902,1900s
"Lives of the queens of England: from the Norman conquest; compiled from official records and other authentic documents, private as well as public /",1902-03.,FALSE,DA,1902,1900s
"Lives of the queens of England: from the Norman conquest; compiled from official records and other authentic documents, private as well as public /",1902-03.,FALSE,DA,1902,1900s
"Diary and correspondence of Samuel Pepys, F.R.S., secretary to the admiralty in the reigns of Charles II and James II. The diary deciphered by the Rev. J. Smith, A.M., from the original shorthand ms. in the Pepysian library.",1902-1904.,FALSE,DA,1902,1900s
"Diary and correspondence of Samuel Pepys, F.R.S., secretary to the admiralty in the reigns of Charles II and James II. The diary deciphered by the Rev. J. Smith, A.M., from the original shorthand ms. in the Pepysian library.",1902-1904.,FALSE,DA,1902,1900s
"The novels, stories and sketches of F. Hopkinson Smith.",1902-1915.,FALSE,PS,1902,1900s
"Calendar of the manuscripts of the Marquess of Ormonde, K. P., preserved at Kilkenny castle.",1902-20.,FALSE,DA,1902,1900s
"Calendar of the manuscripts of the Marquess of Ormonde, K. P., preserved at Kilkenny castle.",1902-20.,FALSE,DA,1902,1900s
"Calendar of the manuscripts of the Marquess of Ormonde, K. P., preserved at Kilkenny castle.",1902-20.,FALSE,DA,1902,1900s
Eusebius Werke.,1902-26.,FALSE,BR,1902,1900s
"The influence of sea power upon history, 1660-1783 /","1902, c1890.",FALSE,D,1902,1900s
More famous homes of Great Britain and their stories /,1902.,FALSE,DA,1902,1900s
Pétrone /,1902.,FALSE,DG,1902,1900s
"A history of Egypt from the end of the Neolithic period to the death of Cleopatra VII, B.C. 30.",1902.,FALSE,DT,1902,1900s
"British Nigeria; a geographical and historical description of the British possessions adjacent to the Niger River, West Africa,",1902.,FALSE,DT,1902,1900s
The letters of Horace Walpole : fourth earl of Orford /,1903-05.,FALSE,DA,1903,1900s
The letters of Horace Walpole : fourth earl of Orford /,1903-05.,FALSE,DA,1903,1900s
The letters of Horace Walpole : fourth earl of Orford /,1903-05.,FALSE,DA,1903,1900s
"Histoire des Lagides,",1903-07.,FALSE,DT,1903,1900s
Éléments d'archéologie chrétienne,1903-09.,FALSE,BR,1903,1900s
"The Philippine Islands, 1493-1803: explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century /",1903-09.,FALSE,DS,1903,1900s
"The Philippine Islands, 1493-1803: explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century /",1903-09.,FALSE,DS,1903,1900s
"The Philippine Islands, 1493-1803: explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century /",1903-09.,FALSE,DS,1903,1900s
"The Philippine Islands, 1493-1803: explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century /",1903-09.,FALSE,DS,1903,1900s
"The Philippine Islands, 1493-1803: explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century /",1903-09.,FALSE,DS,1903,1900s
"The Philippine Islands, 1493-1803: explorations by early navigators, descriptions of the islands and their peoples, their history and records of the Catholic missions, as related in contemporaneous books and manuscripts, showing the political, economic, commercial and religious conditions of those islands from their earliest relations with European nations to the beginning of the nineteenth century /",1903-09.,FALSE,DS,1903,1900s
Bibliotheca reformatoria neerlandica. Geschriften uit den tijd der hervorming in de Nederlanden.,1903-1914.,FALSE,BR,1903,1900s
Dictionary of national biography : Index and epitome /,1903.,FALSE,DA,1903,1900s
Through the Dolomites.,1903.,FALSE,DB,1903,1900s
Les sources allemandes de l'histoire de Jeanne d'Arc /,1903.,FALSE,DC,1903,1900s
"American ideals: and other essays, social and political /",1904 [c1897],FALSE,E,1904,1900s
Ranson's folly /,1904 [c1902],FALSE,PS,1904,1900s
Diary & letters /,1904-05.,FALSE,PR,1904,1900s
Innocent III,1904-08.,FALSE,D,1904,1900s
"History of England from the accession of James I. to the outbreak of the civil war, 1603-1642;","1904-09. v.1,'05.",FALSE,DA,1904,1900s
"History of England from the accession of James I. to the outbreak of the civil war, 1603-1642;","1904-09. v.1,'05.",FALSE,DA,1904,1900s
"History of England from the accession of James I. to the outbreak of the civil war, 1603-1642;","1904-09. v.1,'05.",FALSE,DA,1904,1900s
The works of Francis Beaumont and John Fletcher.,1904-12.,FALSE,PR,1904,1900s
"Report on the manuscripts of the Earl of Mar and Kellie : preserved at Alloa house, N. B.",1904.,FALSE,DA,1904,1900s
"France, historic and romantic.",1904.,FALSE,DC,1904,1900s
Japan : an attempt at interpretation /,1904.,FALSE,DS,1904,1900s
Congrès archéologique de France : [proceedings],1905-,FALSE,DC,1905,1900s
Supplementary papers of the American School of Classical Studies in Rome.,1905-,FALSE,DG,1905,1900s
"Dio's Rome : an historical narrative originally composed in Greek during the reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus and now presented in English form /",1905-06.,FALSE,DG,1905,1900s
"Dio's Rome : an historical narrative originally composed in Greek during the reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus and now presented in English form /",1905-06.,FALSE,DG,1905,1900s
Aunt Jo's scrap-bag ... /,1905-07.,FALSE,PS,1905,1900s
Report on the manuscripts of the Earl of Egmont .,1905-09.,FALSE,DA,1905,1900s
Minor poets of the Caroline period ...,1905-1921.,FALSE,PR,1905,1900s
Wer ist's?,1905.,FALSE,DD,1905,1900s
Wer ist's?,1905.,FALSE,DD,1905,1900s
"Benares, the sacred city; sketches of Hindu life and religion",1905.,FALSE,DS,1905,1900s
"The history of Egypt : from the earliest times till the conquest by the Arabs, A. D. 640.",1905.,FALSE,DT,1905,1900s
Milet.,1906-,FALSE,DF,1906,1900s
"Rotterdam in den loop der eeuwen; wordingsgeschiedenis; Kerkelijk leven; kunsten en Wetenschappen; scheepvaart, handel en nijverheid; maatschappelikj leven.",1906-09.,FALSE,DJ,1906,1900s
The English factories in India ... : a calendar of documents,1906-1927.,FALSE,DS,1906,1900s
The English factories in India ... : a calendar of documents,1906-1927.,FALSE,DS,1906,1900s
With Walt Whitman in Camden /,1906-1996.,FALSE,PS,1906,1900s
"Pepys' Memoires of the Royal Navy, 1679-1688 /",1906.,FALSE,DA,1906,1900s
A queen of queens : & the making of Spain /,1906.,FALSE,DP,1906,1900s
The mikado's empire /,1906.,FALSE,DS,1906,1900s
"Hildreth's ""Japan as it was and is"" : a handbook of old Japan /",1906.,FALSE,DS,1906,1900s
"The history of Japan, together with a description of the kingdom of Siam, 1690-92,",1906.,FALSE,DS,1906,1900s
"By the waters of Carthage,",1906.,FALSE,DT,1906,1900s
Geschichte des Altertums /,1907-,FALSE,D,1907,1900s
Geschichte des Altertums /,1907-,FALSE,D,1907,1900s
"Storia do Mogor: or, Mogul India, 1653-1708 /",1907-08.,FALSE,DS,1907,1900s
The complete works of George Gascoigne,1907-10],FALSE,PR,1907,1900s
Imperial gazetteer of India ...,1907-1909.,FALSE,DS,1907,1900s
Imperial gazetteer of India ...,1907-1909.,FALSE,DS,1907,1900s
The novels and tales of Henry James.,1907-1917.,FALSE,PS,1907,1900s
Patrologia orientalis.,1907-1975.,FALSE,BR,1907,1900s
The development of Shakespeare as a dramatist /,"1907, t.p. 1910.",FALSE,PR,1907,1900s
"The life and letters of Sir Henry Wotton,",1907.,FALSE,DA,1907,1900s
"Jeanne d'Arc, maid of Orleans, deliverer of France : being the story of her life, her achievements and her death, as attested on oath & set forth in the original documents.",1907.,FALSE,DC,1907,1900s
"A princess of intrigue : Anne Geneviève de Bourbon, duchesse de Longueville and her times /",1907.,FALSE,DC,1907,1900s
"The princes of Achaia and the Chronicles of Morea, a study of Greece in the middle ages,",1907.,FALSE,DF,1907,1900s
Brabant and East Flanders /,1907.,FALSE,DH,1907,1900s
"Secret history of the English occupation of Egypt: being a personal narrative of events,",1907.,FALSE,DT,1907,1900s
"The register of William Wickwane, lord archbishop of York, 1279-1285.",1907],FALSE,DA,1907,1900s
"The works of James Buchanan : comprising his speeches, state papers, and private correspondence /",1908-11.,FALSE,E,1908,1900s
"The works of James Buchanan : comprising his speeches, state papers, and private correspondence /",1908-11.,FALSE,E,1908,1900s
"Dordracum illustratum. Verzameling van kaarten, teeneningen, prenten en portretten, betreffende de stat Dordrecht. Bijeengebracht, gerangschikt e beschreven /",1908-12.,FALSE,DJ,1908,1900s
"Lollardy and the Reformation in England; an historical survey, by James Gairdner",1908-1913.,FALSE,BR,1908,1900s
Manuel d'archéologie préhistorique celtique et galloromaine /,1908-1960.,FALSE,DC,1908,1900s
Manuel d'archéologie préhistorique celtique et galloromaine /,1908-1960.,FALSE,DC,1908,1900s
Manuel d'archéologie préhistorique celtique et galloromaine /,1908-1960.,FALSE,DC,1908,1900s
